证券代码↑,证券简称,"所属申万行业名称
[行业级别] 一级行业","董事会人数
[交易日期] 2010-12-31","独立董事人数
[交易日期] 2010-12-31","非独立董事人数
[交易日期] 2010-12-31","公司监事(历任)
[交易日期] 2010-12-31","高管人数
[交易日期] 2010-12-31","支付给职工以及为职工支付的现金
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","管理层年度薪酬总额
[年度] 2010
[单位] 万元","资产总计
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","员工总数
[交易日期] 2010-12-31","净现金流
[报告期] 2010第四季度
[单位] 元","资产负债率
[报告期] 2010年报
[单位] %","营业收入(同比增长率)
[报告期] 2010年报
[单位] %","公司属性
[交易日期] 2010-12-31","大股东持股比例
[日期] 2010-12-31
[排名] 第1名
[单位] %"
000001.SZ,平安银行,银行,15,5,10,"邱伟,车国宝,罗康平,肖立荣,王毅,曹立新,王岚",10,"3,747,634,000.0000","3,399.0000","727,610,068,000.0000",12203,,95.3941,19.2388,公众企业,14.9600
000002.SZ,万科A,房地产,11,4,7,"丁福源,周清平,吴丁",11,"1,848,827,752.3700","5,388.0000","215,637,551,741.8300",22850,,74.6861,3.7496,公众企业,14.7300
000004.SZ,国华网安,计算机,9,3,6,"王燕东,尹晓东,魏杰",5,"13,531,998.3900",131.9700,"184,219,435.7000",277,,29.8574,118.5922,民营企业,26.1000
000005.SZ,ST星源,公用事业,15,5,10,"刘丽萍,熊金芳,王洁萍",7,"30,884,731.7900",345.1000,"1,293,608,601.2800",671,,47.7960,217.7272,民营企业,20.1500
000006.SZ,深振业A,房地产,9,3,6,"朱大华,郭其荣,李红光",9,"54,178,528.6000",677.2500,"8,568,302,263.1800",276,,70.1421,26.4703,地方国有企业,19.9300
000007.SZ,*ST全新,商业贸易,9,3,6,"王岱,韩军,冯幼红",6,"32,795,963.0800",269.2000,"332,421,568.0900",751,,109.8531,7.4869,民营企业,21.7400
000008.SZ,神州高铁,机械设备,6,3,3,"施丽娜,杨建,陈汉伦",5,"1,440,940.7800",71.4000,"77,932,220.9200",24,,4.5319,3.4115,民营企业,23.1500
000009.SZ,中国宝安,综合,9,3,6,"龚明,贺国奇,张育新",6,"278,117,478.0800","1,321.2500","10,024,647,811.4900",5496,,62.9530,-1.6092,公众企业,8.4400
000010.SZ,美丽生态,建筑装饰,10,3,7,"周会军,杨礼彬,孙永平",3,"24,503,094.4700",101.2000,"212,201,435.6800",21,,59.7420,3.4152,民营企业,24.0700
000011.SZ,深物业A,房地产,8,3,5,"郭陆肆,曹子杨,王秀颜",7,"182,972,116.9000",566.4400,"2,913,281,353.8400",2752,,69.9635,17.4845,地方国有企业,54.2200
000012.SZ,南玻A,建筑材料,9,3,6,"张东骏,杨海,孙静云",7,"656,468,269.0000",870.2700,"12,469,619,167.0000",11719,,45.7945,46.6906,公众企业,3.6900
000014.SZ,沙河股份,房地产,7,2,5,"胥兴华,张选昭,汪运涛",6,"40,390,356.8000",676.1600,"1,589,755,396.1500",98,,64.7874,5.9516,地方国有企业,32.0200
000016.SZ,深康佳A,家用电器,7,3,4,"董亚平,郝刚,刘勇",10,"1,131,125,096.3300",796.9900,"16,466,895,565.0000",20424,,74.3477,29.0551,中央国有企业,19.0000
000017.SZ,深中华A,汽车,11,4,7,萧彦,5,"15,747,757.2900",343.7700,"138,158,078.8900",84,,"1,371.1421",14.6102,民营企业,11.8100
000019.SZ,深粮控股,商业贸易,9,3,6,"林红,庄光关,罗龙新",5,"28,024,227.6400",259.5700,"658,468,839.9500",610,,43.3623,24.7935,地方国有企业,26.3300
000020.SZ,深华发A,电子,7,3,4,"曹丽,唐敢于,翁小珏",2,"34,753,420.0600",66.4200,"725,894,326.4200",1078,,63.2778,46.6919,民营企业,41.1400
000021.SZ,深科技,电子,9,3,6,"林平,谢少华,宋建华,李单单,王维",7,"725,105,406.6100",545.6300,"6,666,538,139.8200",17489,,32.8237,54.9501,中央国有企业,49.6400
000023.SZ,深天地A,建筑材料,9,3,6,"张淑芳,李苏民,范保光,霍广华,黄绍宣",8,"61,049,011.4100",359.3000,"938,521,333.5500",1238,,66.1815,17.8794,民营企业,31.3100
000025.SZ,特力A,汽车,9,3,6,"柯文生,张心亮,富春龙,关志才,王光叶",7,"48,347,067.0400",259.1900,"599,555,953.2800",653,,66.6757,-10.7073,地方国有企业,66.2200
000026.SZ,飞亚达,轻工制造,9,3,6,"隋涌,张颂华,唐博学",7,"199,854,522.7500","1,137.5600","2,436,539,054.3900",3266,,47.1559,43.9112,中央国有企业,41.4900
000027.SZ,深圳能源,公用事业,9,3,6,"黄历新,王琮,陆欣,叶滴萌,麦锦兴,郑凯,贺云",7,"569,189,768.2500",666.0900,"29,069,959,284.3900",127,,43.5322,9.4483,地方国有企业,63.7400
000028.SZ,国药一致,医药生物,9,3,6,"王怀钦,关晓晖,姜修昌",10,"369,596,005.6600",712.1500,"6,306,793,005.8100",4187,,82.0599,18.7991,中央国有企业,38.3300
000029.SZ,深深房A,房地产,9,3,6,"王秀颜,熊兴农,石春荣,许振汉,冯宏伟",7,"94,959,120.9100",355.6400,"3,379,090,178.0200",1862,,61.5344,36.1077,地方国有企业,63.5500
000030.SZ,富奥股份,汽车,7,3,4,"牛素艳,王敏,孔那",3,"469,977.8600",63.9000,"73,920,089.8400",8,,"2,945.3997",-20.1520,民营企业,59.8200
000031.SZ,大悦城,房地产,9,3,6,"陈瑜,王浩,余福平",14,"201,446,447.6900","1,437.9900","20,173,630,451.1200",1692,,69.6077,-20.9782,中央国有企业,50.6500
000032.SZ,深桑达A,通信,9,3,6,"王秋菊,赵奇,韦海东,叶剑明,李安建",7,"99,038,463.1800",466.4000,"1,489,448,926.8800",1744,,46.1773,19.9060,中央国有企业,42.0200
