,证券代码↑,证券简称,所属申万行业名称[行业级别] 一级行业,董事会人数[交易日期] 2010-12-31,独立董事人数[交易日期] 2010-12-31,非独立董事人数[交易日期] 2010-12-31,公司监事(历任)[交易日期] 2010-12-31,高管人数[交易日期] 2010-12-31,支付给职工以及为职工支付的现金[报告期] 2010年报[报表类型] 合并报表[单位] 元,管理层年度薪酬总额[年度] 2010[单位] 万元,资产总计[报告期] 2010年报[报表类型] 合并报表[单位] 元,员工总数[交易日期] 2010-12-31,净现金流[报告期] 2010第四季度[单位] 元,资产负债率[报告期] 2010年报[单位] %,营业收入(同比增长率)[报告期] 2010年报[单位] %,公司属性[交易日期] 2010-12-31,大股东持股比例[日期] 2010-12-31[排名] 第1名[单位] %,Stkcd,EndDate,Same,Symbol,Enddate,StatisticalCaliber,UnpaidNumber
0,000001,平安银行,银行,15.0,5.0,10.0,"邱伟,车国宝,罗康平,肖立荣,王毅,曹立新,王岚",10.0,"3,747,634,000.0000","3,399.0000","727,610,068,000.0000",12203.0,,95.3941,19.2388,公众企业,14.96,000001,2010-12-31,N,000001,2010-12-31,1,6
1,000002,万科A,房地产,11.0,4.0,7.0,"丁福源,周清平,吴丁",11.0,"1,848,827,752.3700","5,388.0000","215,637,551,741.8300",22850.0,,74.6861,3.7496,公众企业,14.73,000002,2010-12-31,N,000002,2010-12-31,1,0
2,000004,国华网安,计算机,9.0,3.0,6.0,"王燕东,尹晓东,魏杰",5.0,"13,531,998.3900",131.9700,"184,219,435.7000",277.0,,29.8574,118.5922,民营企业,26.1,000004,2010-12-31,N,000004,2010-12-31,1,6
3,000005,ST星源,公用事业,15.0,5.0,10.0,"刘丽萍,熊金芳,王洁萍",7.0,"30,884,731.7900",345.1000,"1,293,608,601.2800",671.0,,47.7960,217.7272,民营企业,20.15,000005,2010-12-31,N,000005,2010-12-31,1,3
4,000006,深振业A,房地产,9.0,3.0,6.0,"朱大华,郭其荣,李红光",9.0,"54,178,528.6000",677.2500,"8,568,302,263.1800",276.0,,70.1421,26.4703,地方国有企业,19.93,000006,2010-12-31,N,000006,2010-12-31,1,0
5,000007,*ST全新,商业贸易,9.0,3.0,6.0,"王岱,韩军,冯幼红",6.0,"32,795,963.0800",269.2000,"332,421,568.0900",751.0,,109.8531,7.4869,民营企业,21.74,000007,2010-12-31,N,000007,2010-12-31,1,0
6,000008,神州高铁,机械设备,6.0,3.0,3.0,"施丽娜,杨建,陈汉伦",5.0,"1,440,940.7800",71.4000,"77,932,220.9200",24.0,,4.5319,3.4115,民营企业,23.15,000008,2010-12-31,N,000008,2010-12-31,1,0
7,000009,中国宝安,综合,9.0,3.0,6.0,"龚明,贺国奇,张育新",6.0,"278,117,478.0800","1,321.2500","10,024,647,811.4900",5496.0,,62.9530,-1.6092,公众企业,8.44,000009,2010-12-31,Y,000009,2010-12-31,1,0
8,000010,美丽生态,建筑装饰,10.0,3.0,7.0,"周会军,杨礼彬,孙永平",3.0,"24,503,094.4700",101.2000,"212,201,435.6800",21.0,,59.7420,3.4152,民营企业,24.07,000010,2010-12-31,Y,000010,2010-12-31,1,5
9,000011,深物业A,房地产,8.0,3.0,5.0,"郭陆肆,曹子杨,王秀颜",7.0,"182,972,116.9000",566.4400,"2,913,281,353.8400",2752.0,,69.9635,17.4845,地方国有企业,54.22,000011,2010-12-31,N,000011,2010-12-31,1,3
10,000012,南玻A,建筑材料,9.0,3.0,6.0,"张东骏,杨海,孙静云",7.0,"656,468,269.0000",870.2700,"12,469,619,167.0000",11719.0,,45.7945,46.6906,公众企业,3.69,000012,2010-12-31,N,000012,2010-12-31,1,6
11,000014,沙河股份,房地产,7.0,2.0,5.0,"胥兴华,张选昭,汪运涛",6.0,"40,390,356.8000",676.1600,"1,589,755,396.1500",98.0,,64.7874,5.9516,地方国有企业,32.02,000014,2010-12-31,N,000014,2010-12-31,1,3
12,000016,深康佳A,家用电器,7.0,3.0,4.0,"董亚平,郝刚,刘勇",10.0,"1,131,125,096.3300",796.9900,"16,466,895,565.0000",20424.0,,74.3477,29.0551,中央国有企业,19.0,000016,2010-12-31,Y,000016,2010-12-31,1,5
13,000017,深中华A,汽车,11.0,4.0,7.0,萧彦,5.0,"15,747,757.2900",343.7700,"138,158,078.8900",84.0,,"1,371.1421",14.6102,民营企业,11.81,000017,2010-12-31,N,000017,2010-12-31,1,5
14,000019,深粮控股,商业贸易,9.0,3.0,6.0,"林红,庄光关,罗龙新",5.0,"28,024,227.6400",259.5700,"658,468,839.9500",610.0,,43.3623,24.7935,地方国有企业,26.33,000019,2010-12-31,N,000019,2010-12-31,1,3
15,000020,深华发A,电子,7.0,3.0,4.0,"曹丽,唐敢于,翁小珏",2.0,"34,753,420.0600",66.4200,"725,894,326.4200",1078.0,,63.2778,46.6919,民营企业,41.14,000020,2010-12-31,Y,000020,2010-12-31,1,4
16,000021,深科技,电子,9.0,3.0,6.0,"林平,谢少华,宋建华,李单单,王维",7.0,"725,105,406.6100",545.6300,"6,666,538,139.8200",17489.0,,32.8237,54.9501,中央国有企业,49.64,000021,2010-12-31,N,000021,2010-12-31,1,1
17,000023,深天地A,建筑材料,9.0,3.0,6.0,"张淑芳,李苏民,范保光,霍广华,黄绍宣",8.0,"61,049,011.4100",359.3000,"938,521,333.5500",1238.0,,66.1815,17.8794,民营企业,31.31,000023,2010-12-31,N,000023,2010-12-31,1,5
18,000025,特力A,汽车,9.0,3.0,6.0,"柯文生,张心亮,富春龙,关志才,王光叶",7.0,"48,347,067.0400",259.1900,"599,555,953.2800",653.0,,66.6757,-10.7073,地方国有企业,66.22,000025,2010-12-31,N,000025,2010-12-31,1,5
19,000026,飞亚达,轻工制造,9.0,3.0,6.0,"隋涌,张颂华,唐博学",7.0,"199,854,522.7500","1,137.5600","2,436,539,054.3900",3266.0,,47.1559,43.9112,中央国有企业,41.49,000026,2010-12-31,N,000026,2010-12-31,1,6
20,000027,深圳能源,公用事业,9.0,3.0,6.0,"黄历新,王琮,陆欣,叶滴萌,麦锦兴,郑凯,贺云",7.0,"569,189,768.2500",666.0900,"29,069,959,284.3900",127.0,,43.5322,9.4483,地方国有企业,63.74,000027,2010-12-31,N,000027,2010-12-31,1,7
21,000028,国药一致,医药生物,9.0,3.0,6.0,"王怀钦,关晓晖,姜修昌",10.0,"369,596,005.6600",712.1500,"6,306,793,005.8100",4187.0,,82.0599,18.7991,中央国有企业,38.33,000028,2010-12-31,N,000028,2010-12-31,1,8
22,000029,深深房A,房地产,9.0,3.0,6.0,"王秀颜,熊兴农,石春荣,许振汉,冯宏伟",7.0,"94,959,120.9100",355.6400,"3,379,090,178.0200",1862.0,,61.5344,36.1077,地方国有企业,63.55,000029,2010-12-31,N,000029,2010-12-31,1,4
23,000030,富奥股份,汽车,7.0,3.0,4.0,"牛素艳,王敏,孔那",3.0,"469,977.8600",63.9000,"73,920,089.8400",8.0,,"2,945.3997",-20.1520,民营企业,59.82,000030,2010-12-31,Y,000030,2010-12-31,1,4
24,000031,大悦城,房地产,9.0,3.0,6.0,"陈瑜,王浩,余福平",14.0,"201,446,447.6900","1,437.9900","20,173,630,451.1200",1692.0,,69.6077,-20.9782,中央国有企业,50.65,000031,2010-12-31,N,000031,2010-12-31,1,6
25,000032,深桑达A,通信,9.0,3.0,6.0,"王秋菊,赵奇,韦海东,叶剑明,李安建",7.0,"99,038,463.1800",466.4000,"1,489,448,926.8800",1744.0,,46.1773,19.9060,中央国有企业,42.02,000032,2010-12-31,N,000032,2010-12-31,1,5
26,000034,神州数码,计算机,7.0,3.0,4.0,"费泳洁,王祖荣,段满生",3.0,"39,135,011.4200",192.0000,"188,887,579.6500",1153.0,,65.0283,18.5043,民营企业,21.88,000034,2010-12-31,Y,000034,2010-12-31,1,5
27,000035,中国天楹,公用事业,7.0,3.0,4.0,"欧富,王旻菁,刘胜",6.0,"43,130.8000",71.0000,"595,209,862.2100",38.0,,301.9497,-6.4267,民营企业,22.41,000035,2010-12-31,N,000035,2010-12-31,1,3
28,000036,华联控股,房地产,9.0,3.0,6.0,"丁跃,李云,陈小佳",5.0,"34,112,865.2600",146.0000,"4,175,156,268.4000",572.0,,47.9080,-41.8966,集体企业,31.32,000036,2010-12-31,N,000036,2010-12-31,1,6
